instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,ntemp,ftemp,atemp,natemp,fatemp,hum,nhum,fhum,windspeed,nwindspeed,fwindspeed,casual,registered,cnt,day
10665,2012/3/25,2,1,3,11,0,0,0,2,0.4,16.4,1,0.4091,20.455,2,0.94,94,4,0.2537,16.9979,2,106,217,323,1
10666,2012/3/25,2,1,3,12,0,0,0,2,0.4,16.4,1,0.4091,20.455,2,0.94,94,4,0.2239,15.0013,2,122,238,360,1
10667,2012/3/25,2,1,3,13,0,0,0,2,0.42,17.22,1,0.4242,21.21,2,0.88,88,4,0.1642,11.0014,2,110,257,367,1
10668,2012/3/25,2,1,3,14,0,0,0,2,0.44,18.04,1,0.4394,21.97,2,0.88,88,4,0.1642,11.0014,2,123,291,414,1
10669,2012/3/25,2,1,3,15,0,0,0,2,0.44,18.04,1,0.4394,21.97,2,0.88,88,4,0.194,12.998,2,139,282,421,1
10670,2012/3/25,2,1,3,16,0,0,0,1,0.48,19.68,1,0.4697,23.485,2,0.77,77,3,0,0,0,153,339,492,1
10671,2012/3/25,2,1,3,17,0,0,0,1,0.5,20.5,2,0.4848,24.24,2,0.72,72,3,0.0896,6.0032,1,146,273,419,1
10672,2012/3/25,2,1,3,18,0,0,0,1,0.5,20.5,2,0.4848,24.24,2,0.72,72,3,0.0896,6.0032,1,202,289,491,1
10673,2012/3/25,2,1,3,19,0,0,0,1,0.5,20.5,2,0.4848,24.24,2,0.72,72,3,0.2537,16.9979,2,114,261,375,1
10674,2012/3/25,2,1,3,20,0,0,0,1,0.48,19.68,1,0.4697,23.485,2,0.77,77,3,0.2239,15.0013,2,63,196,259,1
10675,2012/3/25,2,1,3,21,0,0,0,1,0.48,19.68,1,0.4697,23.485,2,0.77,77,3,0.1642,11.0014,2,25,124,149,1
10676,2012/3/25,2,1,3,22,0,0,0,1,0.46,18.86,1,0.4545,22.725,2,0.82,82,4,0.1343,8.9981,1,19,92,111,0
10677,2012/3/25,2,1,3,23,0,0,0,1,0.48,19.68,1,0.4697,23.485,2,0.82,82,4,0.1343,8.9981,1,9,56,65,0
10678,2012/3/26,2,1,3,0,0,1,1,2,0.48,19.68,1,0.4697,23.485,2,0.82,82,4,0.1642,11.0014,2,10,23,33,0
10679,2012/3/26,2,1,3,1,0,1,1,1,0.48,19.68,1,0.4697,23.485,2,0.82,82,4,0.2537,16.9979,2,18,10,28,0
10680,2012/3/26,2,1,3,2,0,1,1,1,0.46,18.86,1,0.4545,22.725,2,0.88,88,4,0.2239,15.0013,2,14,6,20,0
10681,2012/3/26,2,1,3,3,0,1,1,1,0.46,18.86,1,0.4545,22.725,2,0.82,82,4,0.194,12.998,2,0,1,1,0
10682,2012/3/26,2,1,3,4,0,1,1,1,0.44,18.04,1,0.4394,21.97,2,0.82,82,4,0.1642,11.0014,2,0,4,4,0
10683,2012/3/26,2,1,3,5,0,1,1,1,0.44,18.04,1,0.4394,21.97,2,0.77,77,3,0.1642,11.0014,2,0,36,36,0
10684,2012/3/26,2,1,3,6,0,1,1,1,0.42,17.22,1,0.4242,21.21,2,0.82,82,4,0.194,12.998,2,7,110,117,0
10685,2012/3/26,2,1,3,7,0,1,1,1,0.44,18.04,1,0.4394,21.97,2,0.72,72,3,0.194,12.998,2,15,355,370,1
10686,2012/3/26,2,1,3,8,0,1,1,1,0.44,18.04,1,0.4394,21.97,2,0.62,62,3,0.2239,15.0013,2,32,625,657,1
10687,2012/3/26,2,1,3,9,0,1,1,1,0.46,18.86,1,0.4545,22.725,2,0.47,47,2,0.2836,19.0012,3,37,245,282,1
10688,2012/3/26,2,1,3,10,0,1,1,1,0.5,20.5,2,0.4848,24.24,2,0.36,36,1,0.5821,39.0007,5,55,98,153,1
10689,2012/3/26,2,1,3,11,0,1,1,1,0.48,19.68,1,0.4697,23.485,2,0.31,31,1,0.5821,39.0007,5,47,131,178,1
10690,2012/3/26,2,1,3,12,0,1,1,1,0.48,19.68,1,0.4697,23.485,2,0.33,33,1,0.5224,35.0008,4,63,216,279,1
10691,2012/3/26,2,1,3,13,0,1,1,1,0.48,19.68,1,0.4697,23.485,2,0.29,29,1,0.6866,46.0022,5,79,222,301,1
10692,2012/3/26,2,1,3,14,0,1,1,1,0.48,19.68,1,0.4697,23.485,2,0.33,33,1,0.4478,30.0026,4,58,159,217,1
10693,2012/3/26,2,1,3,15,0,1,1,1,0.48,19.68,1,0.4697,23.485,2,0.29,29,1,0.6119,40.9973,5,66,157,223,1
10694,2012/3/26,2,1,3,16,0,1,1,1,0.48,19.68,1,0.4697,23.485,2,0.25,25,1,0.6418,43.0006,5,60,245,305,1
10695,2012/3/26,2,1,3,17,0,1,1,1,0.46,18.86,1,0.4545,22.725,2,0.24,24,1,0.4478,30.0026,4,65,599,664,1
10696,2012/3/26,2,1,3,18,0,1,1,1,0.44,18.04,1,0.4394,21.97,2,0.26,26,1,0.4478,30.0026,4,90,594,684,1
10697,2012/3/26,2,1,3,19,0,1,1,1,0.42,17.22,1,0.4242,21.21,2,0.24,24,1,0.3582,23.9994,3,41,417,458,1
10698,2012/3/26,2,1,3,20,0,1,1,1,0.4,16.4,1,0.4091,20.455,2,0.26,26,1,0.5224,35.0008,4,12,209,221,1
10699,2012/3/26,2,1,3,21,0,1,1,1,0.38,15.58,1,0.3939,19.695,1,0.25,25,1,0.4925,32.9975,4,11,175,186,1
10700,2012/3/26,2,1,3,22,0,1,1,1,0.36,14.76,1,0.3333,16.665,1,0.25,25,1,0.3582,23.9994,3,13,80,93,0
10701,2012/3/26,2,1,3,23,0,1,1,1,0.34,13.94,1,0.2879,14.395,1,0.25,25,1,0.5224,35.0008,4,2,46,48,0
10702,2012/3/27,2,1,3,0,0,2,1,1,0.32,13.12,1,0.2879,14.395,1,0.26,26,1,0.5224,35.0008,4,1,9,10,0
10703,2012/3/27,2,1,3,1,0,2,1,1,0.3,12.3,1,0.2727,13.635,1,0.26,26,1,0.4627,31.0009,4,1,4,5,0
10704,2012/3/27,2,1,3,2,0,2,1,1,0.26,10.66,1,0.2273,11.365,1,0.3,30,1,0.2985,19.9995,3,1,6,7,0
10705,2012/3/27,2,1,3,3,0,2,1,1,0.26,10.66,1,0.2273,11.365,1,0.3,30,1,0.3284,22.0028,3,0,4,4,0
10706,2012/3/27,2,1,3,4,0,2,1,1,0.24,9.84,1,0.2121,10.605,1,0.32,32,1,0.3582,23.9994,3,0,3,3,0
10707,2012/3/27,2,1,3,5,0,2,1,1,0.22,9.02,1,0.2121,10.605,1,0.37,37,1,0.2836,19.0012,3,1,16,17,0
10708,2012/3/27,2,1,3,6,0,2,1,1,0.22,9.02,1,0.2273,11.365,1,0.37,37,1,0.194,12.998,2,5,96,101,0
10709,2012/3/27,2,1,3,7,0,2,1,1,0.22,9.02,1,0.2273,11.365,1,0.37,37,1,0.194,12.998,2,9,277,286,1
10710,2012/3/27,2,1,3,8,0,2,1,1,0.22,9.02,1,0.2121,10.605,1,0.37,37,1,0.2985,19.9995,3,14,567,581,1
10711,2012/3/27,2,1,3,9,0,2,1,1,0.24,9.84,1,0.2273,11.365,1,0.38,38,1,0.194,12.998,2,8,259,267,1
10712,2012/3/27,2,1,3,10,0,2,1,1,0.26,10.66,1,0.2576,12.88,1,0.35,35,1,0.2239,15.0013,2,20,118,138,1
10713,2012/3/27,2,1,3,11,0,2,1,1,0.3,12.3,1,0.303,15.15,1,0.31,31,1,0.1642,11.0014,2,34,141,175,1
10714,2012/3/27,2,1,3,12,0,2,1,1,0.32,13.12,1,0.3182,15.91,1,0.31,31,1,0.1642,11.0014,2,34,186,220,1
10715,2012/3/27,2,1,3,13,0,2,1,1,0.36,14.76,1,0.3485,17.425,1,0.27,27,1,0,0,0,46,165,211,1
10716,2012/3/27,2,1,3,14,0,2,1,1,0.4,16.4,1,0.4091,20.455,2,0.24,24,1,0.1343,8.9981,1,37,147,184,1
10717,2012/3/27,2,1,3,15,0,2,1,1,0.42,17.22,1,0.4242,21.21,2,0.2,20,1,0,0,0,42,158,200,1
10718,2012/3/27,2,1,3,16,0,2,1,1,0.42,17.22,1,0.4242,21.21,2,0.2,20,1,0,0,0,38,267,305,1
10719,2012/3/27,2,1,3,17,0,2,1,1,0.44,18.04,1,0.4394,21.97,2,0.16,16,1,0,0,0,72,542,614,1
10720,2012/3/27,2,1,3,18,0,2,1,1,0.42,17.22,1,0.4242,21.21,2,0.17,17,1,0.0896,6.0032,1,67,577,644,1
10721,2012/3/27,2,1,3,19,0,2,1,1,0.42,17.22,1,0.4242,21.21,2,0.17,17,1,0,0,0,40,377,417,1
10722,2012/3/27,2,1,3,20,0,2,1,1,0.42,17.22,1,0.4242,21.21,2,0.17,17,1,0.0896,6.0032,1,28,266,294,1
10723,2012/3/27,2,1,3,21,0,2,1,1,0.36,14.76,1,0.3485,17.425,1,0.37,37,1,0.1642,11.0014,2,21,200,221,1
10724,2012/3/27,2,1,3,22,0,2,1,1,0.36,14.76,1,0.3485,17.425,1,0.37,37,1,0.1343,8.9981,1,7,127,134,0
10725,2012/3/27,2,1,3,23,0,2,1,1,0.36,14.76,1,0.3485,17.425,1,0.37,37,1,0.194,12.998,2,5,59,64,0
10726,2012/3/28,2,1,3,0,0,3,1,1,0.36,14.76,1,0.3333,16.665,1,0.4,40,2,0.2836,19.0012,3,1,29,30,0
10727,2012/3/28,2,1,3,1,0,3,1,1,0.36,14.76,1,0.3333,16.665,1,0.46,46,2,0.2985,19.9995,3,0,8,8,0
10728,2012/3/28,2,1,3,2,0,3,1,1,0.34,13.94,1,0.303,15.15,1,0.49,49,2,0.2985,19.9995,3,0,3,3,0
10729,2012/3/28,2,1,3,3,0,3,1,1,0.34,13.94,1,0.303,15.15,1,0.42,42,2,0.3284,22.0028,3,1,4,5,0
10730,2012/3/28,2,1,3,4,0,3,1,1,0.36,14.76,1,0.3333,16.665,1,0.43,43,2,0.2985,19.9995,3,1,0,1,0
10731,2012/3/28,2,1,3,5,0,3,1,1,0.36,14.76,1,0.3333,16.665,1,0.43,43,2,0.2985,19.9995,3,2,38,40,0
10732,2012/3/28,2,1,3,6,0,3,1,1,0.36,14.76,1,0.3333,16.665,1,0.46,46,2,0.3582,23.9994,3,4,111,115,0
10733,2012/3/28,2,1,3,7,0,3,1,1,0.36,14.76,1,0.3333,16.665,1,0.46,46,2,0.3284,22.0028,3,10,348,358,1
10734,2012/3/28,2,1,3,8,0,3,1,1,0.38,15.58,1,0.3939,19.695,1,0.46,46,2,0.3582,23.9994,3,19,639,658,1
10735,2012/3/28,2,1,3,9,0,3,1,1,0.4,16.4,1,0.4091,20.455,2,0.43,43,2,0.4478,30.0026,4,16,298,314,1
10736,2012/3/28,2,1,3,10,0,3,1,1,0.46,18.86,1,0.4545,22.725,2,0.41,41,2,0.4179,27.9993,3,33,140,173,1
10737,2012/3/28,2,1,3,11,0,3,1,1,0.5,20.5,2,0.4848,24.24,2,0.42,42,2,0.3881,26.0027,3,54,168,222,1
10738,2012/3/28,2,1,3,12,0,3,1,2,0.54,22.14,2,0.5152,25.76,2,0.39,39,1,0.3582,23.9994,3,50,218,268,1
10739,2012/3/28,2,1,3,13,0,3,1,1,0.56,22.96,2,0.5303,26.515,2,0.43,43,2,0.3284,22.0028,3,60,213,273,1
10740,2012/3/28,2,1,3,14,0,3,1,1,0.62,25.42,2,0.6212,31.06,3,0.38,38,1,0.3582,23.9994,3,52,169,221,1
10741,2012/3/28,2,1,3,15,0,3,1,2,0.62,25.42,2,0.6212,31.06,3,0.41,41,2,0.2985,19.9995,3,47,152,199,1
10742,2012/3/28,2,1,3,16,0,3,1,3,0.62,25.42,2,0.6212,31.06,3,0.43,43,2,0.0896,6.0032,1,51,170,221,1
10743,2012/3/28,2,1,3,17,0,3,1,1,0.6,24.6,2,0.6061,30.305,3,0.6,60,3,0.2239,15.0013,2,72,532,604,1
10744,2012/3/28,2,1,3,18,0,3,1,1,0.6,24.6,2,0.6061,30.305,3,0.6,60,3,0.2239,15.0013,2,61,580,641,1
